         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2390    0.008    0.000    0.149    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1084(__init__)
    10341    0.106    0.000    0.148    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:340(_broadcast_to)
     2090    0.037    0.000    0.148    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:666(recache)
     3320    0.026    0.000    0.146    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:463(transformed)
    72360    0.104    0.000    0.146    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Compiler/RDDLModel.py:501(indices)
     9360    0.082    0.000    0.145    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
    54420    0.092    0.000    0.142    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
     3560    0.007    0.000    0.141    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:1303(set_fontproperties)
   100630    0.059    0.000    0.140    0.000 /home/codespace/.python/current/lib/python3.10/_weakrefset.py:63(__iter__)
    18648    0.063    0.000    0.140    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
     1380    0.013    0.000    0.139    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:347(_apply_params)
9660/7990    0.060    0.000    0.138    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2431(get_affine)
    36068    0.066    0.000    0.138    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Compiler/RDDLModel.py:537(ground_values)
